region,harvest,site,treatment,trap no,unique_trap_no,habitat,model type,predation,predation_2
west,Post-harvest,DF,Pasture,4,8,Edge,Unscented,No predation,0
west,Pre-harvest,DF,Pasture,4,8,Edge,Scented,No predation,0
west,Pre-harvest,DF,Pasture,4,8,Edge,Unscented,No predation,0
west,Post-harvest,DF,Pasture,5,9,Matrix,Scented,No predation,0
west,Post-harvest,DF,Pasture,5,9,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Pasture,5,9,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Pasture,5,9,Matrix,Scented,No predation,0
west,Post-harvest,DF,Pasture,7,10,Matrix,Scented,No predation,0
west,Post-harvest,DF,Pasture,7,10,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Pasture,7,10,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Pasture,7,10,Matrix,Scented,Predation,1
west,Post-harvest,DF,Planting,1,11,Remnant,Unscented,No predation,0
west,Post-harvest,DF,Planting,1,11,Remnant,Scented,No predation,0
west,Pre-harvest,DF,Planting,1,11,Remnant,Scented,No predation,0
west,Pre-harvest,DF,Planting,1,11,Remnant,Unscented,No predation,0
west,Post-harvest,DF,Planting,3,12,Remnant,Unscented,No predation,0
west,Post-harvest,DF,Planting,3,12,Remnant,Scented,No predation,0
west,Pre-harvest,DF,Planting,3,12,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Planting,3,12,Remnant,Scented,No predation,0
west,Post-harvest,DF,Planting,4,13,Edge,Scented,No predation,0
west,Post-harvest,DF,Planting,4,13,Edge,Unscented,No predation,0
west,Pre-harvest,DF,Planting,4,13,Edge,Unscented,No predation,0
west,Pre-harvest,DF,Planting,4,13,Edge,Scented,Predation,1
west,Pre-harvest,DF,Planting,4,13,Edge,Unscented,Predation,1
west,Post-harvest,DF,Planting,5,14,Matrix,Scented,No predation,0
west,Post-harvest,DF,Planting,5,14,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Planting,5,14,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Planting,5,14,Matrix,Unscented,No predation,0
west,Post-harvest,DF,Planting,7,15,Matrix,Scented,No predation,0
west,Post-harvest,DF,Planting,7,15,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Planting,7,15,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Planting,7,15,Matrix,Scented,No predation,0
west,Post-harvest,DF,Woody debris,1,16,Remnant,Scented,No predation,0
west,Post-harvest,DF,Woody debris,1,16,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,1,16,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,1,16,Remnant,Scented,No predation,0
west,Post-harvest,DF,Woody debris,3,17,Remnant,Scented,No predation,0
west,Post-harvest,DF,Woody debris,3,17,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,3,17,Remnant,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,3,17,Remnant,Scented,No predation,0
west,Post-harvest,DF,Woody debris,4,18,Edge,Scented,No predation,0
west,Post-harvest,DF,Woody debris,4,18,Edge,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,4,18,Edge,Scented,Predation,1
west,Pre-harvest,DF,Woody debris,4,18,Edge,Unscented,Predation,1
west,Post-harvest,DF,Woody debris,5,19,Matrix,Scented,No predation,0
west,Post-harvest,DF,Woody debris,5,19,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,5,19,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,5,19,Matrix,Scented,No predation,0
west,Post-harvest,DF,Woody debris,7,20,Matrix,Scented,No predation,0
west,Post-harvest,DF,Woody debris,7,20,Matrix,Unscented,No predation,0
west,Pre-harvest,DF,Woody debris,7,20,Matrix,Scented,No predation,0
west,Pre-harvest,DF,Woody debris,7,20,Matrix,Unscented,No predation,0
east,Post-harvest,DR,Cropped,1,21,Remnant,Scented,No predation,0
east,Post-harvest,DR,Cropped,1,21,Remnant,Unscented,Predation,1
east,Pre-harvest,DR,Cropped,1,21,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Cropped,1,21,Remnant,Unscented,No predation,0
east,Post-harvest,DR,Cropped,3,22,Remnant,Scented,No predation,0
east,Post-harvest,DR,Cropped,3,22,Remnant,Unscented,No predation,0
east,Pre-harvest,DR,Cropped,3,22,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Cropped,3,22,Remnant,Unscented,No predation,0
east,Post-harvest,DR,Cropped,4,23,Edge,Scented,No predation,0
east,Post-harvest,DR,Cropped,4,23,Edge,Unscented,Predation,1
east,Pre-harvest,DR,Cropped,4,23,Edge,Scented,Predation,1
east,Pre-harvest,DR,Cropped,4,23,Edge,Unscented,No predation,0
east,Post-harvest,DR,Cropped,5,24,Matrix,Scented,No predation,0
east,Post-harvest,DR,Cropped,5,24,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Cropped,5,24,Matrix,Scented,Predation,1
east,Pre-harvest,DR,Cropped,5,24,Matrix,Unscented,Predation,1
east,Post-harvest,DR,Cropped,7,25,Matrix,Scented,No predation,0
east,Post-harvest,DR,Cropped,7,25,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Cropped,7,25,Matrix,Scented,No predation,0
east,Pre-harvest,DR,Cropped,7,25,Matrix,Unscented,No predation,0
east,Post-harvest,DR,Pasture,1,26,Remnant,Scented,Predation,1
east,Post-harvest,DR,Pasture,1,26,Remnant,Unscented,No predation,0
east,Pre-harvest,DR,Pasture,1,26,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Pasture,1,26,Remnant,Unscented,Predation,1
east,Post-harvest,DR,Pasture,3,27,Remnant,Scented,No predation,0
east,Post-harvest,DR,Pasture,3,27,Remnant,Unscented,No predation,0
east,Pre-harvest,DR,Pasture,3,27,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Pasture,3,27,Remnant,Unscented,No predation,0
east,Post-harvest,DR,Pasture,4,28,Edge,Scented,No predation,0
east,Post-harvest,DR,Pasture,4,28,Edge,Unscented,No predation,0
east,Pre-harvest,DR,Pasture,4,28,Edge,Scented,No predation,0
east,Pre-harvest,DR,Pasture,4,28,Edge,Unscented,No predation,0
east,Post-harvest,DR,Pasture,5,29,Matrix,Scented,No predation,0
east,Post-harvest,DR,Pasture,5,29,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Pasture,5,29,Matrix,Scented,No predation,0
east,Pre-harvest,DR,Pasture,5,29,Matrix,Unscented,No predation,0
east,Post-harvest,DR,Pasture,7,30,Matrix,Scented,No predation,0
east,Post-harvest,DR,Pasture,7,30,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Pasture,7,30,Matrix,Scented,No predation,0
east,Pre-harvest,DR,Pasture,7,30,Matrix,Unscented,No predation,0
east,Post-harvest,DR,Planting,1,31,Remnant,Scented,No predation,0
east,Post-harvest,DR,Planting,1,31,Remnant,Unscented,No predation,0
east,Pre-harvest,DR,Planting,1,31,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Planting,1,31,Remnant,Unscented,No predation,0
east,Post-harvest,DR,Planting,3,32,Remnant,Scented,No predation,0
east,Post-harvest,DR,Planting,3,32,Remnant,Unscented,No predation,0
east,Pre-harvest,DR,Planting,3,32,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Planting,3,32,Remnant,Unscented,No predation,0
east,Post-harvest,DR,Planting,4,33,Edge,Scented,No predation,0
east,Post-harvest,DR,Planting,4,33,Edge,Unscented,No predation,0
east,Pre-harvest,DR,Planting,4,33,Edge,Scented,No predation,0
east,Pre-harvest,DR,Planting,4,33,Edge,Unscented,No predation,0
east,Post-harvest,DR,Planting,5,34,Matrix,Scented,No predation,0
east,Post-harvest,DR,Planting,5,34,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Planting,5,34,Matrix,Scented,No predation,0
east,Pre-harvest,DR,Planting,5,34,Matrix,Unscented,No predation,0
east,Post-harvest,DR,Planting,7,35,Matrix,Scented,No predation,0
east,Post-harvest,DR,Planting,7,35,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Planting,7,35,Matrix,Scented,No predation,0
east,Pre-harvest,DR,Planting,7,35,Matrix,Unscented,No predation,0
east,Post-harvest,DR,Woody debris,1,36,Remnant,Scented,No predation,0
east,Post-harvest,DR,Woody debris,1,36,Remnant,Unscented,No predation,0
east,Pre-harvest,DR,Woody debris,1,36,Remnant,Scented,Predation,1
east,Pre-harvest,DR,Woody debris,1,36,Remnant,Unscented,Predation,1
east,Post-harvest,DR,Woody debris,3,37,Remnant,Scented,Predation,1
east,Post-harvest,DR,Woody debris,3,37,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Woody debris,3,37,Remnant,Scented,No predation,0
east,Pre-harvest,DR,Woody debris,3,37,Remnant,Unscented,No predation,0
east,Post-harvest,DR,Woody debris,4,38,Edge,Scented,No predation,0
east,Post-harvest,DR,Woody debris,4,38,Edge,Unscented,No predation,0
east,Pre-harvest,DR,Woody debris,4,38,Edge,Scented,No predation,0
east,Pre-harvest,DR,Woody debris,4,38,Edge,Unscented,No predation,0
east,Post-harvest,DR,Woody debris,5,39,Matrix,Scented,No predation,0
east,Post-harvest,DR,Woody debris,5,39,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Woody debris,5,39,Matrix,Scented,No predation,0
east,Pre-harvest,DR,Woody debris,5,39,Matrix,Unscented,No predation,0
east,Post-harvest,DR,Woody debris,7,40,Matrix,Scented,No predation,0
east,Post-harvest,DR,Woody debris,7,40,Matrix,Unscented,No predation,0
east,Pre-harvest,DR,Woody debris,7,40,Matrix,Scented,No predation,0
east,Pre-harvest,DR,Woody debris,7,40,Matrix,Unscented,No predation,0
west,Post-harvest,GH,Cropped,1,41,Remnant,Scented,No predation,0
west,Post-harvest,GH,Cropped,1,41,Remnant,Unscented,No predation,0
west,Pre-harvest,GH,Cropped,1,41,Remnant,Scented,No predation,0
west,Pre-harvest,GH,Cropped,1,41,Remnant,Unscented,No predation,0
west,Post-harvest,GH,Cropped,3,42,Remnant,Scented,No predation,0
west,Post-harvest,GH,Cropped,3,42,Remnant,Unscented,No predation,0
west,Pre-harvest,GH,Cropped,3,42,Remnant,Scented,Predation,1
west,Pre-harvest,GH,Cropped,3,42,Remnant,Unscented,Predation,1
west,Post-harvest,GH,Cropped,4,43,Edge,Scented,No predation,0
west,Post-harvest,GH,Cropped,4,43,Edge,Unscented,No predation,0
west,Pre-harvest,GH,Cropped,4,43,Edge,Scented,No predation,0
west,Pre-harvest,GH,Cropped,4,43,Edge,Unscented,No predation,0
west,Post-harvest,GH,Cropped,5,44,Matrix,Unscented,No predation,0
west,Post-harvest,GH,Cropped,5,44,Matrix,Scented,No predation,0
west,Pre-harvest,GH,Cropped,5,44,Matrix,Scented,No predation,0
west,Pre-harvest,GH,Cropped,5,44,Matrix,Unscented,Predation,1
west,Post-harvest,GH,Cropped,7,45,Matrix,Scented,No predation,0
west,Post-harvest,GH,Cropped,7,45,Matrix,Unscented,No predation,0
west,Pre-harvest,GH,Cropped,7,45,Matrix,Scented,No predation,0
west,Pre-harvest,GH,Cropped,7,45,Matrix,Unscented,No predation,0
west,Post-harvest,GH,Planting,1,46,Remnant,Scented,No predation,0
west,Post-harvest,GH,Planting,1,46,Remnant,Unscented,No predation,0
west,Pre-harvest,GH,Planting,1,46,Remnant,Scented,No predation,0
west,Pre-harvest,GH,Planting,1,46,Remnant,Unscented,No predation,0
west,Post-harvest,GH,Planting,3,47,Remnant,Scented,No predation,0
west,Post-harvest,GH,Planting,3,47,Remnant,Unscented,No predation,0
west,Pre-harvest,GH,Planting,3,47,Remnant,Scented,No predation,0
west,Pre-harvest,GH,Planting,3,47,Remnant,Unscented,No predation,0
west,Post-harvest,GH,Planting,4,48,Edge,Scented,Predation,1
west,Post-harvest,GH,Planting,4,48,Edge,Unscented,Predation,1
west,Pre-harvest,GH,Planting,4,48,Edge,Scented,Predation,1
west,Pre-harvest,GH,Planting,4,48,Edge,Unscented,No predation,0
west,Post-harvest,GH,Planting,5,49,Matrix,Scented,No predation,0
west,Post-harvest,GH,Planting,5,49,Matrix,Unscented,No predation,0
west,Pre-harvest,GH,Planting,5,49,Matrix,Scented,No predation,0
west,Pre-harvest,GH,Planting,5,49,Matrix,Unscented,No predation,0
west,Post-harvest,GH,Planting,7,50,Matrix,Scented,No predation,0
west,Post-harvest,GH,Planting,7,50,Matrix,Unscented,No predation,0
west,Pre-harvest,GH,Planting,7,50,Matrix,Scented,No predation,0
west,Pre-harvest,GH,Planting,7,50,Matrix,Unscented,No predation,0
west,Post-harvest,GH,Woody debris,1,51,Remnant,Scented,No predation,0
west,Post-harvest,GH,Woody debris,1,51,Remnant,Unscented,No predation,0
west,Pre-harvest,GH,Woody debris,1,51,Remnant,Scented,No predation,0
west,Pre-harvest,GH,Woody debris,1,51,Remnant,Unscented,No predation,0
west,Post-harvest,GH,Woody debris,3,52,Remnant,Scented,No predation,0
west,Post-harvest,GH,Woody debris,3,52,Remnant,Unscented,No predation,0
west,Pre-harvest,GH,Woody debris,3,52,Remnant,Scented,No predation,0
west,Pre-harvest,GH,Woody debris,3,52,Remnant,Unscented,No predation,0
west,Post-harvest,GH,Woody debris,4,53,Edge,Unscented,No predation,0
west,Post-harvest,GH,Woody debris,4,53,Edge,Scented,No predation,0
west,Pre-harvest,GH,Woody debris,4,53,Edge,Unscented,No predation,0
west,Pre-harvest,GH,Woody debris,4,53,Edge,Scented,Predation,1
west,Post-harvest,GH,Woody debris,5,54,Matrix,Scented,No predation,0
west,Post-harvest,GH,Woody debris,5,54,Matrix,Unscented,No predation,0
west,Pre-harvest,GH,Woody debris,5,54,Matrix,Scented,No predation,0
west,Pre-harvest,GH,Woody debris,5,54,Matrix,Unscented,No predation,0
west,Post-harvest,GH,Woody debris,7,55,Matrix,Scented,No predation,0
west,Post-harvest,GH,Woody debris,7,55,Matrix,Unscented,No predation,0
west,Pre-harvest,GH,Woody debris,7,55,Matrix,Scented,No predation,0
west,Pre-harvest,GH,Woody debris,7,55,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Cropped,1,56,Remnant,Scented,Predation,1
east,Post-harvest,IE,Cropped,1,56,Remnant,Unscented,Predation,1
east,Pre-harvest,IE,Cropped,1,56,Remnant,Scented,Predation,1
east,Pre-harvest,IE,Cropped,1,56,Remnant,Unscented,No predation,0
east,Post-harvest,IE,Cropped,3,57,Remnant,Scented,No predation,0
east,Post-harvest,IE,Cropped,3,57,Remnant,Unscented,No predation,0
east,Pre-harvest,IE,Cropped,3,57,Remnant,Unscented,No predation,0
east,Pre-harvest,IE,Cropped,3,57,Remnant,Scented,No predation,0
east,Post-harvest,IE,Cropped,4,58,Edge,Scented,No predation,0
east,Post-harvest,IE,Cropped,4,58,Edge,Unscented,Predation,1
east,Pre-harvest,IE,Cropped,4,58,Edge,Scented,Predation,1
east,Pre-harvest,IE,Cropped,4,58,Edge,Unscented,No predation,0
east,Post-harvest,IE,Cropped,5,59,Matrix,Scented,Predation,1
east,Post-harvest,IE,Cropped,5,59,Matrix,Unscented,No predation,0
east,Pre-harvest,IE,Cropped,5,59,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Cropped,5,59,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Cropped,7,60,Matrix,Scented,No predation,0
east,Post-harvest,IE,Cropped,7,60,Matrix,Unscented,No predation,0
east,Pre-harvest,IE,Cropped,7,60,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Cropped,7,60,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Pasture,1,61,Remnant,Scented,No predation,0
east,Post-harvest,IE,Pasture,1,61,Remnant,Unscented,No predation,0
east,Pre-harvest,IE,Pasture,1,61,Remnant,Scented,No predation,0
east,Pre-harvest,IE,Pasture,1,61,Remnant,Scented,No predation,0
east,Post-harvest,IE,Pasture,3,62,Remnant,Scented,No predation,0
east,Post-harvest,IE,Pasture,3,62,Remnant,Unscented,No predation,0
east,Pre-harvest,IE,Pasture,3,62,Remnant,Scented,No predation,0
east,Pre-harvest,IE,Pasture,3,62,Remnant,Unscented,No predation,0
east,Post-harvest,IE,Pasture,4,63,Edge,Scented,No predation,0
east,Post-harvest,IE,Pasture,4,63,Edge,Unscented,No predation,0
east,Pre-harvest,IE,Pasture,4,63,Edge,Unscented,No predation,0
east,Pre-harvest,IE,Pasture,4,63,Edge,Scented,No predation,0
east,Post-harvest,IE,Pasture,5,64,Matrix,Scented,No predation,0
east,Post-harvest,IE,Pasture,5,64,Matrix,Unscented,No predation,0
east,Pre-harvest,IE,Pasture,5,64,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Pasture,5,64,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Pasture,7,65,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Pasture,7,65,Matrix,Scented,Predation,1
east,Pre-harvest,IE,Pasture,7,65,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Pasture,7,65,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Planting,1,66,Remnant,Unscented,Predation,1
east,Post-harvest,IE,Planting,1,66,Remnant,Scented,No predation,0
east,Pre-harvest,IE,Planting,1,66,Remnant,Scented,Predation,1
east,Pre-harvest,IE,Planting,1,66,Remnant,Unscented,No predation,0
east,Post-harvest,IE,Planting,3,67,Remnant,Scented,No predation,0
east,Post-harvest,IE,Planting,3,67,Remnant,Unscented,No predation,0
east,Pre-harvest,IE,Planting,3,67,Remnant,Scented,No predation,0
east,Pre-harvest,IE,Planting,3,67,Remnant,Unscented,No predation,0
east,Post-harvest,IE,Planting,4,68,Edge,Scented,No predation,0
east,Post-harvest,IE,Planting,4,68,Edge,Unscented,No predation,0
east,Pre-harvest,IE,Planting,4,68,Edge,Unscented,No predation,0
east,Pre-harvest,IE,Planting,4,68,Edge,Scented,No predation,0
east,Post-harvest,IE,Planting,5,69,Matrix,Scented,No predation,0
east,Post-harvest,IE,Planting,5,69,Matrix,Unscented,No predation,0
east,Pre-harvest,IE,Planting,5,69,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Planting,5,69,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Planting,7,70,Matrix,Scented,No predation,0
east,Post-harvest,IE,Planting,7,70,Matrix,Unscented,No predation,0
east,Pre-harvest,IE,Planting,7,70,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Planting,7,70,Matrix,Unscented,Predation,1
east,Post-harvest,IE,Woody debris,1,71,Remnant,Scented,No predation,0
east,Post-harvest,IE,Woody debris,1,71,Remnant,Unscented,No predation,0
east,Pre-harvest,IE,Woody debris,1,71,Remnant,Scented,Predation,1
east,Pre-harvest,IE,Woody debris,1,71,Remnant,Unscented,Predation,1
east,Post-harvest,IE,Woody debris,3,72,Remnant,Unscented,No predation,0
east,Post-harvest,IE,Woody debris,3,72,Remnant,Scented,No predation,0
east,Pre-harvest,IE,Woody debris,3,72,Remnant,Scented,No predation,0
east,Pre-harvest,IE,Woody debris,3,72,Remnant,Unscented,No predation,0
east,Post-harvest,IE,Woody debris,4,73,Edge,Unscented,No predation,0
east,Post-harvest,IE,Woody debris,4,73,Edge,Scented,No predation,0
east,Pre-harvest,IE,Woody debris,4,73,Edge,Scented,No predation,0
east,Pre-harvest,IE,Woody debris,4,73,Edge,Unscented,No predation,0
east,Post-harvest,IE,Woody debris,5,74,Matrix,Scented,Predation,1
east,Post-harvest,IE,Woody debris,5,74,Matrix,Unscented,Predation,1
east,Pre-harvest,IE,Woody debris,5,74,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Woody debris,5,74,Matrix,Unscented,No predation,0
east,Post-harvest,IE,Woody debris,7,75,Matrix,Scented,Predation,1
east,Post-harvest,IE,Woody debris,7,75,Matrix,Unscented,Predation,1
east,Pre-harvest,IE,Woody debris,7,75,Matrix,Scented,No predation,0
east,Pre-harvest,IE,Woody debris,7,75,Matrix,Unscented,No predation,0
east,Post-harvest,RR,Cropped,1,76,Remnant,Scented,No predation,0
east,Post-harvest,RR,Cropped,1,76,Remnant,Unscented,No predation,0
east,Pre-harvest,RR,Cropped,1,76,Remnant,Scented,Predation,1
east,Pre-harvest,RR,Cropped,1,76,Remnant,Unscented,Predation,1
east,Post-harvest,RR,Cropped,3,77,Remnant,Scented,No predation,0
east,Post-harvest,RR,Cropped,3,77,Remnant,Unscented,No predation,0
east,Pre-harvest,RR,Cropped,3,77,Remnant,Scented,No predation,0
east,Pre-harvest,RR,Cropped,3,77,Remnant,Unscented,No predation,0
east,Post-harvest,RR,Cropped,4,78,Edge,Scented,Predation,1
east,Post-harvest,RR,Cropped,4,78,Edge,Unscented,Predation,1
east,Pre-harvest,RR,Cropped,4,78,Edge,Scented,No predation,0
east,Pre-harvest,RR,Cropped,4,78,Edge,Unscented,No predation,0
east,Post-harvest,RR,Cropped,5,79,Matrix,Scented,No predation,0
east,Post-harvest,RR,Cropped,5,79,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Cropped,5,79,Matrix,Scented,No predation,0
east,Pre-harvest,RR,Cropped,5,79,Matrix,Unscented,No predation,0
east,Post-harvest,RR,Cropped,7,80,Matrix,Scented,No predation,0
east,Post-harvest,RR,Cropped,7,80,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Cropped,7,80,Matrix,Scented,No predation,0
east,Pre-harvest,RR,Cropped,7,80,Matrix,Unscented,No predation,0
east,Post-harvest,RR,Pasture,1,81,Remnant,Scented,No predation,0
east,Post-harvest,RR,Pasture,1,81,Remnant,Unscented,No predation,0
east,Pre-harvest,RR,Pasture,1,81,Remnant,Scented,Predation,1
east,Post-harvest,RR,Pasture,3,82,Remnant,Scented,No predation,0
east,Post-harvest,RR,Pasture,3,82,Remnant,Unscented,No predation,0
east,Pre-harvest,RR,Pasture,3,82,Remnant,Scented,No predation,0
east,Pre-harvest,RR,Pasture,3,82,Remnant,Unscented,No predation,0
east,Post-harvest,RR,Pasture,4,83,Edge,Scented,No predation,0
east,Post-harvest,RR,Pasture,4,83,Edge,Unscented,No predation,0
east,Pre-harvest,RR,Pasture,4,83,Edge,Scented,Predation,1
east,Pre-harvest,RR,Pasture,4,83,Edge,Unscented,No predation,0
east,Post-harvest,RR,Pasture,5,84,Matrix,Scented,No predation,0
east,Post-harvest,RR,Pasture,5,85,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Pasture,5,85,Matrix,Scented,No predation,0
east,Pre-harvest,RR,Pasture,5,85,Matrix,Unscented,No predation,0
east,Post-harvest,RR,Pasture,7,87,Matrix,Scented,No predation,0
east,Post-harvest,RR,Pasture,7,87,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Pasture,7,87,Matrix,Scented,Predation,1
east,Pre-harvest,RR,Pasture,7,87,Matrix,Unscented,No predation,0
east,Post-harvest,RR,Planting,1,88,Remnant,Scented,No predation,0
east,Post-harvest,RR,Planting,1,88,Remnant,Unscented,Predation,1
east,Pre-harvest,RR,Planting,1,88,Remnant,Scented,Predation,1
east,Pre-harvest,RR,Planting,1,88,Remnant,Unscented,No predation,0
east,Post-harvest,RR,Planting,3,89,Remnant,Scented,No predation,0
east,Post-harvest,RR,Planting,3,89,Remnant,Unscented,No predation,0
east,Pre-harvest,RR,Planting,3,89,Remnant,Scented,No predation,0
east,Pre-harvest,RR,Planting,3,89,Remnant,Unscented,No predation,0
east,Post-harvest,RR,Planting,4,90,Edge,Scented,No predation,0
east,Post-harvest,RR,Planting,4,90,Edge,Unscented,No predation,0
east,Pre-harvest,RR,Planting,4,90,Edge,Unscented,No predation,0
east,Pre-harvest,RR,Planting,4,90,Edge,Scented,No predation,0
east,Post-harvest,RR,Planting,5,91,Matrix,Scented,No predation,0
east,Post-harvest,RR,Planting,5,91,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Planting,5,91,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Planting,5,91,Matrix,Scented,No predation,0
east,Post-harvest,RR,Planting,7,92,Matrix,Scented,No predation,0
east,Post-harvest,RR,Planting,7,92,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Planting,7,92,Matrix,Scented,No predation,0
east,Pre-harvest,RR,Planting,7,92,Matrix,Unscented,No predation,0
east,Post-harvest,RR,Woody debris,1,93,Remnant,Scented,Predation,1
east,Post-harvest,RR,Woody debris,1,93,Remnant,Unscented,Predation,1
east,Pre-harvest,RR,Woody debris,1,93,Remnant,Scented,No predation,0
east,Pre-harvest,RR,Woody debris,1,93,Remnant,Unscented,No predation,0
east,Post-harvest,RR,Woody debris,3,94,Remnant,Scented,Predation,1
east,Post-harvest,RR,Woody debris,3,94,Remnant,Unscented,Predation,1
east,Pre-harvest,RR,Woody debris,3,94,Remnant,Scented,No predation,0
east,Pre-harvest,RR,Woody debris,3,94,Remnant,Unscented,No predation,0
east,Post-harvest,RR,Woody debris,4,95,Edge,Scented,No predation,0
east,Post-harvest,RR,Woody debris,4,95,Edge,Unscented,No predation,0
east,Pre-harvest,RR,Woody debris,4,95,Edge,Scented,No predation,0
east,Pre-harvest,RR,Woody debris,4,95,Edge,Scented,Predation,1
east,Post-harvest,RR,Woody debris,5,96,Matrix,Scented,Predation,1
east,Post-harvest,RR,Woody debris,5,96,Matrix,Unscented,Predation,1
east,Pre-harvest,RR,Woody debris,5,96,Matrix,Unscented,No predation,0
east,Pre-harvest,RR,Woody debris,5,96,Matrix,Scented,No predation,0
east,Post-harvest,RR,Woody debris,7,97,Matrix,Scented,No predation,0
east,Post-harvest,RR,Woody debris,7,97,Matrix,Unscented,No predation,0
